Company Name,Website,Email,Phone,Source URL
2Pro Danışmanlık,https://www.2prodanismanlik.com,iletisim@2prodanismanlik.com,+90 212 982 84 39,https://turkiye.ai/portfolio/2pro-danismanlik/
A2 Technology,http://a2.tc,Not Found,Not Found,https://turkiye.ai/portfolio/a2-technology/
ACT Dijital,https://actdijital.com/,"info@austriacard.com.tr, kariyer@austriacard.com.tr, sales@austriacard.com.tr",Not Found,https://turkiye.ai/portfolio/act-dijital/
Adapha,https://adapha.com,,,https://turkiye.ai/portfolio/adapha/
Adastec,https://adastec.com,Istanbulinfo@adastec.comKVV,Not Found,https://turkiye.ai/portfolio/adastec/
Adsbot,https://adsbot.co,Not Found,Not Found,https://turkiye.ai/portfolio/adsbot/
Afara,https://www.afara.com.tr,,,https://turkiye.ai/portfolio/afara/
Aginies,https://www.aginies.com/,Not Found,Not Found,https://turkiye.ai/portfolio/aginies/
Agrimetre,https://agrimetre.com,Not Found,Not Found,https://turkiye.ai/portfolio/agrimetre-2/
Agrovech,https://www.agrovech.com/,Not Found,+90 543 948 27 54,https://turkiye.ai/portfolio/agrovech/
Agrovisio,https://www.agrovisio.com.tr,Not Found,Not Found,https://turkiye.ai/portfolio/agrovisio/
AI.lin,https://tr.ailinsoft.com,Not Found,Not Found,https://turkiye.ai/portfolio/ai-lin/
AIATUS,https://aiatus.com,info@aiatus.comSend,Not Found,https://turkiye.ai/portfolio/aiatus/
Aicado AI,https://aicado.ai/,Hubsupport@aicado.aiExploreFeaturesPricingFAQsIntegrationsFree,Not Found,https://turkiye.ai/portfolio/aicado-ai/
AIFA TURKEY,https://www.aifalabs.com/,usinfo@aifalabs.com,Not Found,https://turkiye.ai/portfolio/aifa-turkey/
AirGemba,https://airgemba.com/,"hello@airgemba.com, steyinhello@airgemba.com",Not Found,https://turkiye.ai/portfolio/airgemba/
AISOFT Yazılım A.Ş.,http://aisofttechnology.com/,info@aisofttechnology.com,+90 554 189 0624,https://turkiye.ai/portfolio/aisoft-yazilim-a-s/
AiTERNA Technologies,https://www.aiterna.tech,Technologiesinfo@aiterna.techViru,Not Found,https://turkiye.ai/portfolio/aiterna-technologies/
Aivisiontech,https://www.aivisiontech.net/,Not Found,Not Found,https://turkiye.ai/portfolio/aivisiontech/
Albert Health,https://albert.health/,"2025info@albert.healthCompanyAboutCareerScienceContactAlbert, conditions.SendSendSendinfo@albert.healthCompanyAboutCareerScienceContactAlbert",Not Found,https://turkiye.ai/portfolio/albert-health/
